STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000101,41,25
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000102,49,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000103,57,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000104,61,50
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000105,66,32
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000106,37,19
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000107,42,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000108,47,24
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000109,38,23
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000110,51,34
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000111,56,40
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000112,49,37
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000113,46,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000114,34,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000115,21,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000116,32,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000117,45,5
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000118,17,1
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000119,19,1
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000120,30,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000121,25,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000122,16,5
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000123,19,6
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000125,40,14
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000126,26,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000127,32,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000128,20,5
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000129,22,6
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000130,36,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000131,35,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000201,35,21
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000202,35,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000203,28,15
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000204,30,19
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000205,31,22
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000206,36,22
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000207,37,24
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000208,42,13
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20000209,44,22
