STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00283704,HARRISON NJ US,20100719,95,75
GHCND:USC00283704,HARRISON NJ US,20100720,90,74
GHCND:USC00283704,HARRISON NJ US,20100721,95,76
GHCND:USC00283704,HARRISON NJ US,20100722,90,73
GHCND:USC00283704,HARRISON NJ US,20100723,91,75
GHCND:USC00283704,HARRISON NJ US,20100724,100,82
GHCND:USC00283704,HARRISON NJ US,20100725,95,71
GHCND:USC00283704,HARRISON NJ US,20100726,89,66
GHCND:USC00283704,HARRISON NJ US,20100727,93,67
GHCND:USC00283704,HARRISON NJ US,20100728,92,73
GHCND:USC00283704,HARRISON NJ US,20100729,81,75
GHCND:USC00283704,HARRISON NJ US,20100730,86,66
GHCND:USC00283704,HARRISON NJ US,20100731,83,66
GHCND:USC00283704,HARRISON NJ US,20100801,79,69
GHCND:USC00283704,HARRISON NJ US,20100802,85,67
GHCND:USC00283704,HARRISON NJ US,20100803,88,72
GHCND:USC00283704,HARRISON NJ US,20100804,91,75
GHCND:USC00283704,HARRISON NJ US,20100805,93,79
GHCND:USC00283704,HARRISON NJ US,20100806,90,77
GHCND:USC00283704,HARRISON NJ US,20100807,85,65
GHCND:USC00283704,HARRISON NJ US,20100808,88,72
GHCND:USC00283704,HARRISON NJ US,20100809,94,73
GHCND:USC00283704,HARRISON NJ US,20100810,93,77
GHCND:USC00283704,HARRISON NJ US,20100811,91,76
GHCND:USC00283704,HARRISON NJ US,20100812,78,73
GHCND:USC00283704,HARRISON NJ US,20100813,82,64
GHCND:USC00283704,HARRISON NJ US,20100814,79,64
GHCND:USC00283704,HARRISON NJ US,20100815,78,74
GHCND:USC00283704,HARRISON NJ US,20100816,87,70
GHCND:USC00283704,HARRISON NJ US,20100817,92,72
GHCND:USC00283704,HARRISON NJ US,20100818,84,70
GHCND:USC00283704,HARRISON NJ US,20100819,90,66
GHCND:USC00283704,HARRISON NJ US,20100820,91,70
GHCND:USC00283704,HARRISON NJ US,20100821,84,65
GHCND:USC00283704,HARRISON NJ US,20100822,80,74
GHCND:USC00283704,HARRISON NJ US,20100823,70,67
GHCND:USC00283704,HARRISON NJ US,20100824,70,64
GHCND:USC00283704,HARRISON NJ US,20100825,69,63
GHCND:USC00283704,HARRISON NJ US,20100826,84,64
GHCND:USC00283704,HARRISON NJ US,20100827,80,59
GHCND:USC00283704,HARRISON NJ US,20100828,83,58
GHCND:USC00283704,HARRISON NJ US,20100829,95,62
GHCND:USC00283704,HARRISON NJ US,20100830,93,69
GHCND:USC00283704,HARRISON NJ US,20100831,93,72
GHCND:USC00283704,HARRISON NJ US,20100901,97,74
GHCND:USC00283704,HARRISON NJ US,20100902,96,76
GHCND:USC00283704,HARRISON NJ US,20100903,85,75
GHCND:USC00283704,HARRISON NJ US,20100904,80,68
GHCND:USC00283704,HARRISON NJ US,20100905,77,59
GHCND:USC00283704,HARRISON NJ US,20100906,80,55
GHCND:USC00283704,HARRISON NJ US,20100907,90,66
GHCND:USC00283704,HARRISON NJ US,20100908,90,66
GHCND:USC00283704,HARRISON NJ US,20100909,70,61
GHCND:USC00283704,HARRISON NJ US,20100910,75,54
GHCND:USC00283704,HARRISON NJ US,20100911,80,55
GHCND:USC00283704,HARRISON NJ US,20100912,67,59
GHCND:USC00283704,HARRISON NJ US,20100913,77,59
GHCND:USC00283704,HARRISON NJ US,20100914,78,56
GHCND:USC00283704,HARRISON NJ US,20100915,73,55
GHCND:USC00283704,HARRISON NJ US,20100916,72,53
GHCND:USC00283704,HARRISON NJ US,20100917,74,63
GHCND:USC00283704,HARRISON NJ US,20100918,74,57
GHCND:USC00283704,HARRISON NJ US,20100919,82,60
GHCND:USC00283704,HARRISON NJ US,20100920,74,59
GHCND:USC00283704,HARRISON NJ US,20100921,75,50
GHCND:USC00283704,HARRISON NJ US,20100922,89,62
GHCND:USC00283704,HARRISON NJ US,20100923,81,66
GHCND:USC00283704,HARRISON NJ US,20100924,88,67
GHCND:USC00283704,HARRISON NJ US,20100925,89,74
GHCND:USC00283704,HARRISON NJ US,20100926,71,62
GHCND:USC00283704,HARRISON NJ US,20100927,69,59
GHCND:USC00283704,HARRISON NJ US,20100928,75,70
GHCND:USC00283704,HARRISON NJ US,20100929,79,61
GHCND:USC00283704,HARRISON NJ US,20100930,77,68
GHCND:USC00283704,HARRISON NJ US,20101001,75,57
GHCND:USC00283704,HARRISON NJ US,20101002,67,49
GHCND:USC00283704,HARRISON NJ US,20101003,63,49
GHCND:USC00283704,HARRISON NJ US,20101004,54,52
GHCND:USC00283704,HARRISON NJ US,20101005,59,52
GHCND:USC00283704,HARRISON NJ US,20101006,66,54
GHCND:USC00283704,HARRISON NJ US,20101007,72,51
GHCND:USC00283704,HARRISON NJ US,20101008,73,49
GHCND:USC00283704,HARRISON NJ US,20101009,74,55
GHCND:USC00283704,HARRISON NJ US,20101010,71,43
GHCND:USC00283704,HARRISON NJ US,20101011,76,54
GHCND:USC00283704,HARRISON NJ US,20101012,71,59
GHCND:USC00283704,HARRISON NJ US,20101013,65,45
GHCND:USC00283704,HARRISON NJ US,20101014,64,44
GHCND:USC00283704,HARRISON NJ US,20101015,58,48
GHCND:USC00283704,HARRISON NJ US,20101016,60,50
GHCND:USC00283704,HARRISON NJ US,20101017,71,47
GHCND:USC00283704,HARRISON NJ US,20101018,61,48
GHCND:USC00283704,HARRISON NJ US,20101019,61,48
GHCND:USC00283704,HARRISON NJ US,20101020,60,43
GHCND:USC00283704,HARRISON NJ US,20101021,64,47
GHCND:USC00283704,HARRISON NJ US,20101022,55,45
GHCND:USC00283704,HARRISON NJ US,20101023,66,42
GHCND:USC00283704,HARRISON NJ US,20101024,68,50
GHCND:USC00283704,HARRISON NJ US,20101025,76,50
GHCND:USC00283704,HARRISON NJ US,20101026,72,63
GHCND:USC00283704,HARRISON NJ US,20101027,76,64
GHCND:USC00283704,HARRISON NJ US,20101028,75,61
GHCND:USC00283704,HARRISON NJ US,20101029,58,46
GHCND:USC00283704,HARRISON NJ US,20101030,58,42
GHCND:USC00283704,HARRISON NJ US,20101031,59,46
GHCND:USC00283704,HARRISON NJ US,20101101,50,36
GHCND:USC00283704,HARRISON NJ US,20101102,52,34
GHCND:USC00283704,HARRISON NJ US,20101103,54,34
GHCND:USC00283704,HARRISON NJ US,20101104,50,46
GHCND:USC00283704,HARRISON NJ US,20101105,52,44
GHCND:USC00283704,HARRISON NJ US,20101106,51,37
GHCND:USC00283704,HARRISON NJ US,20101107,51,34
GHCND:USC00283704,HARRISON NJ US,20101108,43,40
GHCND:USC00283704,HARRISON NJ US,20101109,55,40
GHCND:USC00283704,HARRISON NJ US,20101110,58,47
GHCND:USC00283704,HARRISON NJ US,20101111,56,38
GHCND:USC00283704,HARRISON NJ US,20101112,61,39
GHCND:USC00283704,HARRISON NJ US,20101113,64,38
GHCND:USC00283704,HARRISON NJ US,20101114,61,46
GHCND:USC00283704,HARRISON NJ US,20101115,58,50
GHCND:USC00283704,HARRISON NJ US,20101116,55,51
GHCND:USC00283704,HARRISON NJ US,20101117,60,50
GHCND:USC00283704,HARRISON NJ US,20101118,56,44
GHCND:USC00283704,HARRISON NJ US,20101119,48,38
GHCND:USC00283704,HARRISON NJ US,20101120,55,37
GHCND:USC00283704,HARRISON NJ US,20101121,48,37
GHCND:USC00283704,HARRISON NJ US,20101122,65,44
GHCND:USC00283704,HARRISON NJ US,20101123,61,48
GHCND:USC00283704,HARRISON NJ US,20101124,52,40
GHCND:USC00283704,HARRISON NJ US,20101125,45,37
GHCND:USC00283704,HARRISON NJ US,20101126,51,38
GHCND:USC00283704,HARRISON NJ US,20101127,42,33
GHCND:USC00283704,HARRISON NJ US,20101128,47,31
GHCND:USC00283704,HARRISON NJ US,20101129,48,30
GHCND:USC00283704,HARRISON NJ US,20101130,56,38
GHCND:USC00283704,HARRISON NJ US,20101201,61,39
GHCND:USC00283704,HARRISON NJ US,20101202,42,33
GHCND:USC00283704,HARRISON NJ US,20101203,41,32
GHCND:USC00283704,HARRISON NJ US,20101204,40,31
GHCND:USC00283704,HARRISON NJ US,20101205,35,29
GHCND:USC00283704,HARRISON NJ US,20101206,35,30
GHCND:USC00283704,HARRISON NJ US,20101207,37,30
GHCND:USC00283704,HARRISON NJ US,20101208,35,28
GHCND:USC00283704,HARRISON NJ US,20101209,31,23
GHCND:USC00283704,HARRISON NJ US,20101210,35,20
GHCND:USC00283704,HARRISON NJ US,20101211,46,28
GHCND:USC00283704,HARRISON NJ US,20101212,55,38
GHCND:USC00283704,HARRISON NJ US,20101213,46,21
GHCND:USC00283704,HARRISON NJ US,20101214,24,18
GHCND:USC00283704,HARRISON NJ US,20101215,28,20
GHCND:USC00283704,HARRISON NJ US,20101216,30,23
GHCND:USC00283704,HARRISON NJ US,20101217,37,22
GHCND:USC00283704,HARRISON NJ US,20101218,37,24
GHCND:USC00283704,HARRISON NJ US,20101219,37,27
GHCND:USC00283704,HARRISON NJ US,20101220,37,24
GHCND:USC00283704,HARRISON NJ US,20101221,39,28
