STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TOBS
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800101,0,-9999,0,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800102,0,-9999,0,23
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800103,0,-9999,0,23
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800104,0,-9999,0,13
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800105,0.06,-9999,1,19
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800106,0,-9999,0,12
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800107,0,-9999,0,28
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800108,0,-9999,0,24
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800109,0,-9999,0,21
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800110,0,-9999,0,19
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800111,0,-9999,0,28
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800112,1.23,-9999,0,27
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800113,0,-9999,0,21
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800114,0,-9999,0,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800115,0,-9999,0,40
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800116,0,-9999,0,31
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800117,0,-9999,0,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800118,0,-9999,0,34
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800119,0.6,-9999,0,31
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800120,0,-9999,0,31
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800121,0,-9999,0,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800122,0,-9999,0,25
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800123,0.04,-9999,0,28
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800124,0,-9999,0,13
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800125,0,-9999,0,12
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800126,0,-9999,0,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800127,0,-9999,0,22
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800128,0,-9999,0,36
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800129,0,-9999,0,39
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800130,0,-9999,0,18
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800131,0,-9999,0,15
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800201,0,0,0,6
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800202,0,0,0,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800203,0,0,0,18
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800204,0,0,0,21
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800205,0,0,0,14
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800206,0,0,0,13
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800207,0,0,0,24
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800208,0,0,0,21
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800209,0,0,0,18
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800210,0,0,0,24
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800211,0,0,0,23
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800212,0,0,0,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800213,0,0,0,31
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800214,0,0,0,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800215,0,0,0,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800216,0.3,-9999,2.5,31
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800217,-9999,2,0,25
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800218,0,2,0,14
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800219,0,1,0,26
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800220,0,1,0,24
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800221,0,0,0,36
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800222,0.07,0,0,31
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800223,0.18,0,0,32
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800224,0,0,0,45
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800225,0,0,0,35
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800226,0,0,0,23
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800227,0,0,0,15
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800228,0,0,0,12
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800229,0,0,0,6
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800301,0,0,0,4
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800302,0,0,0,21
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800303,0,0,0,19
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800304,0,0,0,28
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800305,0.12,0,0,34
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800306,0,0,0,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800307,0,0,0,40
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800308,0.09,0,0,38
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800309,0.2,0,0,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800310,0,0,0,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800311,0.74,0,0,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800312,0,0,0,23
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800313,0,0,0,27
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800314,1.45,5,5,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800315,0,5,0,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800316,0,3,0,25
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800317,0,3,0,36
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800318,0.52,0,0,38
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800319,0,0,0,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800320,0,0,0,39
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800321,0.33,0,0,39
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800322,3.11,0,0,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800323,0.2,0,0,39
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800324,0,0,0,37
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800325,0.92,0,0,40
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800326,0,0,0,34
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800327,0,0,0,43
