STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TOBS
GHCND:USC00283704,HARRISON NJ US,20100704,0,0,0,80
GHCND:USC00283704,HARRISON NJ US,20100705,0,0,0,84
GHCND:USC00283704,HARRISON NJ US,20100706,0,0,0,87
GHCND:USC00283704,HARRISON NJ US,20100707,0,0,0,90
GHCND:USC00283704,HARRISON NJ US,20100708,0,0,0,81
GHCND:USC00283704,HARRISON NJ US,20100709,0,0,0,76
GHCND:USC00283704,HARRISON NJ US,20100710,0,0,0,76
GHCND:USC00283704,HARRISON NJ US,20100711,0,0,0,78
GHCND:USC00283704,HARRISON NJ US,20100712,0,0,0,78
GHCND:USC00283704,HARRISON NJ US,20100713,0.83,0,0,76
GHCND:USC00283704,HARRISON NJ US,20100714,1.36,0,0,78
GHCND:USC00283704,HARRISON NJ US,20100715,0,0,0,76
GHCND:USC00283704,HARRISON NJ US,20100716,0,0,0,78
GHCND:USC00283704,HARRISON NJ US,20100717,0,0,0,85
GHCND:USC00283704,HARRISON NJ US,20100718,0,0,0,83
GHCND:USC00283704,HARRISON NJ US,20100719,0.02,0,0,81
GHCND:USC00283704,HARRISON NJ US,20100720,0,0,0,80
GHCND:USC00283704,HARRISON NJ US,20100721,0,0,0,78
GHCND:USC00283704,HARRISON NJ US,20100722,0,0,0,87
GHCND:USC00283704,HARRISON NJ US,20100723,0.16,0,0,80
GHCND:USC00283704,HARRISON NJ US,20100724,0,0,0,73
GHCND:USC00283704,HARRISON NJ US,20100725,0.35,0,0,90
GHCND:USC00283704,HARRISON NJ US,20100726,0,0,0,73
GHCND:USC00283704,HARRISON NJ US,20100727,0,0,0,74
GHCND:USC00283704,HARRISON NJ US,20100728,0,0,0,82
GHCND:USC00283704,HARRISON NJ US,20100729,0.12,0,0,75
GHCND:USC00283704,HARRISON NJ US,20100730,0,0,0,75
GHCND:USC00283704,HARRISON NJ US,20100731,0,0,0,73
GHCND:USC00283704,HARRISON NJ US,20100801,0,0,0,72
GHCND:USC00283704,HARRISON NJ US,20100802,0,0,0,73
GHCND:USC00283704,HARRISON NJ US,20100803,0,0,0,72
GHCND:USC00283704,HARRISON NJ US,20100804,0,0,0,78
GHCND:USC00283704,HARRISON NJ US,20100805,0.01,0,0,88
GHCND:USC00283704,HARRISON NJ US,20100806,0,0,0,84
GHCND:USC00283704,HARRISON NJ US,20100807,0,0,0,71
GHCND:USC00283704,HARRISON NJ US,20100808,0,0,0,74
GHCND:USC00283704,HARRISON NJ US,20100809,0,0,0,77
GHCND:USC00283704,HARRISON NJ US,20100810,0,0,0,83
GHCND:USC00283704,HARRISON NJ US,20100811,0,0,0,82
GHCND:USC00283704,HARRISON NJ US,20100812,0.01,0,0,76
